proxy_wallet,bot_score,cluster,kmeans,operator_id,operator_size,c_cadence_regularity,c_activity_247,c_size_regularity,c_breadth,c_burstiness,c_reaction,n_trades,active_hours,cv_gap,breadth_markets,max_trades_per_sec,reaction_alignment,realized_pnl_usdc,volume_usdc,roi_on_resolved,fill_win_rate
0x5046a24f595a3743e1e29a041ba4a515383f7676,0.4999262536873157,-1,1,,,0.0,0.2916666666666667,0.6106194690265486,1.0,1.0,0.0,113,7,3.198781168605373,17,8,,-0.98,12.98,-0.0758,0.0354
0x69f0c154a3412f2b3fa7eb22c6d08e6b5b32fb27,0.4986666666666667,1,1,op_001,146.0,0.0,0.9583333333333334,0.3,1.0,0.3333333333333333,0.1200000000000001,100,23,3.4767994711005765,47,1,0.56,-24.81,505.0,-0.0775,0.6111
0xdd7ace093254d347055cdfc95a94f0550b4b7bfb,0.4986254295532646,-1,0,,,0.0,0.8333333333333334,0.5463917525773195,1.0,0.3333333333333333,0.0,97,20,1.5656069422198875,94,1,0.3125,0.49,2349.4,0.0002,0.0215
0xcbbc5e035504421b084ad9248b660f6e9618b5d0,0.4986062717770035,1,1,,,0.0,0.75,0.3240418118466899,1.0,0.6666666666666666,0.0,287,18,4.903469468400395,75,2,0.5,-100.88,4250.3,-0.0237,0.5087
0xa5303c3d6321892667739ea611f2f6cb8a5188f6,0.49784946236559147,1,1,,,0.0,0.6666666666666666,0.0967741935483871,1.0,1.0,0.0,93,16,2.2343020096582165,60,5,0.3333,70.81,4391.18,0.0161,0.8925
0x75f33dacb4a16cbadd55c22e3271f0d28a77fe29,0.4975923364485982,1,1,op_001,146.0,0.0,0.375,0.2616822429906542,1.0,1.0,0.3333999999999999,107,9,1.530440589848484,48,6,0.6667,28.25,1026.41,0.0275,0.7664
0x1acf9ce5c136dfb1ea0fc1368e47ce80af4fd02e,0.49709480122324157,1,1,,,0.0,0.9166666666666666,0.09174311926605505,1.0,0.6666666666666666,0.0,218,22,2.662813352356331,75,2,0.3077,3.01,3136.15,0.001,0.4512
0xd4d166d85d65655ce0cb563a6d1edc804bbc1733,0.497,1,1,,,0.0,0.5416666666666666,0.2577777777777778,1.0,1.0,0.0,225,13,5.197548972732698,18,3,,-183.71,275.0,-0.668,0.0311
0xad6588ef75dffd586a956fb0d2cd269f7acfb49e,0.4959677419354839,1,1,op_001,146.0,0.0,0.625,0.13978494623655913,1.0,1.0,0.0,93,15,1.8557582259904708,26,7,,-18.53,628.5,-0.0295,0.7419
0x46243cd282b3731d3a3970ebdc3c4e66f785d4bf,0.4955459770114943,1,1,op_008,3.0,0.0,0.9583333333333334,0.02586206896551724,1.0,0.6666666666666666,0.0,116,23,1.2386457758089977,15,2,,-8.58,130.42,-0.0658,0.569
0x215547eb9c277bfe94791381e5f1d5b9e4793428,0.4949019607843138,1,1,op_001,146.0,0.0,0.5833333333333334,0.18823529411764706,1.0,1.0,0.0,85,14,2.7393668794178248,15,4,,-55.7,391.71,-0.1422,0.5412
0xa9c19119393aba971d56ea1c6d77dad13e6bbe67,0.4947072072072072,1,1,op_001,146.0,0.0,0.9583333333333334,0.02027027027027027,1.0,0.6666666666666666,0.0,148,23,2.2070327826457805,27,2,,-3.01,285.42,-0.0105,0.6824
0xf2cf3cf7863182c763bce60580a7d20e9333464b,0.49436936936936937,1,1,,,0.0,0.9583333333333334,0.35135135135135137,1.0,0.3333333333333333,0.0,74,23,1.8928305628601225,59,1,,2.16,174.66,0.0126,0.7101
0xd71776a8d4fddeb3c150c4607b3f8bec31213b85,0.49324833333333334,1,1,op_001,146.0,0.0,0.9166666666666666,0.3125,1.0,0.3333333333333333,0.13040000000000007,96,22,3.4032152659353803,46,1,0.5652,18.49,522.96,0.0616,0.75
0xd673933e62ad9762401079c59075856d22b21ca5,0.49310344827586206,1,1,,,0.0,0.625,0.1206896551724138,1.0,1.0,0.0,58,15,3.0265527749109293,15,5,0.5,-13.3,39.37,-0.3378,0.5345
0x4c358b3ba6e4fb602275f74281c32771a2a92aae,0.4930555555555556,1,1,op_002,4.0,0.0,0.9166666666666666,0.06481481481481481,1.0,0.6666666666666666,0.0,108,22,2.3689882296445552,48,2,,-5.76,152.89,-0.0382,0.5566
0xcd91a549956854fdc38efad7e80ff5da8f5432b8,0.4930555555555556,1,1,op_001,146.0,0.0,0.5,0.28703703703703703,1.0,1.0,0.0,108,12,2.3211350747048547,38,7,0.3548,7.44,2069.27,0.0053,0.8961
0xed26d53577c70c003a818b84cd1333baf992b18e,0.49291666666666667,1,1,,,0.0,0.7083333333333334,0.175,1.0,0.6666666666666666,0.25,40,17,1.6077670855667274,26,2,0.625,-1.58,77.41,-0.022,0.3333
0x41792a63ad17e7a210c808de4177e64a561eccee,0.4928571428571429,1,1,,,0.0,0.75,0.2857142857142857,1.0,0.6666666666666666,0.0,70,18,1.5959559162947345,49,2,1.0,-260.5,1153.72,-0.2391,0.6774
0x5c757fc1ef8b7c995aefa520011f3b8d2952627b,0.4922043010752688,1,1,,,0.0,0.7916666666666666,0.22580645161290322,1.0,0.6666666666666666,0.0,31,19,1.9486311684235806,23,2,0.25,-7.45,84.4,-0.0995,0.5172
0xb7014815c8f7b2c8bfd978ebda0be8e1a6bc8c1b,0.4916053921568627,1,1,op_006,12.0,0.0,0.9166666666666666,0.05514705882352941,1.0,0.6666666666666666,0.0,272,22,3.996246675592347,49,2,0.1667,7.94,310.83,0.0256,0.864
0x06f7cd57ffc5441cee3c0ffd9e556be595c053e0,0.4912121212121212,1,1,,,0.0,0.5833333333333334,0.16363636363636364,1.0,1.0,0.0,55,14,1.791535819945225,41,3,0.2857,7.93,395.24,0.021,0.7736
0x27abdfc9393c72a6330a3be987da4b46c726e521,0.4909604519774011,-1,1,op_001,146.0,0.0,0.6666666666666666,0.05084745762711865,1.0,1.0,0.0,354,16,1.5649125365772385,79,11,,6.77,1972.54,0.0036,0.9009
0xddfa54cf0fb541160dc5f6741655da298e9f014f,0.49,1,1,,,0.0,0.875,0.1,1.0,0.6666666666666666,0.0,110,21,1.7510738580800993,60,2,0.2,-8.88,598.56,-0.0152,0.7664
0x696fe9802e42bcba7818ccb6fdde1313d95d8f04,0.49,1,1,,,0.0,0.6666666666666666,0.044444444444444446,1.0,0.3333333333333333,1.0,45,16,1.4980223342703713,31,1,1.0,-96.38,352.34,-0.2939,0.1081
